id,task_id,client_id,type,status,input,storage,output,is_delete,extra,create_time,start_time,end_time,update_time,txn_id
8,ebc2ea32-7609-4a24-9347-1fac3285f26a,tcli_b38978008ac443c480cdfb8bf25feb31,image_to_model,expired,"{""pbr"": true, ""file"": {""type"": ""png"", ""object"": {""key"": ""tcli_b38978008ac443c480cdfb8bf25feb31/20251024/ebc2ea32-7609-4a24-9347-1fac3285f26a/image.png"", ""bucket"": ""cn-openapi""}}, ""quad"": false, ""texture"": true, ""model_version"": ""v3.0-20250812"", ""smart_low_poly"": false, ""texture_quality"": ""detailed"", ""geometry_quality"": ""detailed""}","{""key"": ""tcli_b38978008ac443c480cdfb8bf25feb31/20251024/ebc2ea32-7609-4a24-9347-1fac3285f26a"", ""bucket"": ""cn-openapi""}","{""pbr_model"": {""key"": ""tcli_b38978008ac443c480cdfb8bf25feb31/20251024/ebc2ea32-7609-4a24-9347-1fac3285f26a/tripo_pbr_model_ebc2ea32-7609-4a24-9347-1fac3285f26a.glb"", ""bucket"": ""cn-openapi""}, ""rendered_image"": {""key"": ""tcli_b38978008ac443c480cdfb8bf25feb31/20251024/ebc2ea32-7609-4a24-9347-1fac3285f26a/legacy_mesh.webp"", ""bucket"": ""cn-openapi""}}",false,"{""reason"": ""expired by openapi""}",2025-10-24 07:08:50.542565 +00:00,2025-10-24 07:08:50.750762 +00:00,,2025-10-24 07:08:50.542565 +00:00,ttxn_DBYVXLM7E7ACCE3EU44QVIMV
3,f36c4bf0-8a6e-4a5b-9302-779612f1bf77,tcli_b38978008ac443c480cdfb8bf25feb31,image_to_model,expired,"{""pbr"": true, ""file"": {""type"": ""png"", ""object"": {""key"": ""tcli_b38978008ac443c480cdfb8bf25feb31/20251024/f36c4bf0-8a6e-4a5b-9302-779612f1bf77/image.png"", ""bucket"": ""cn-openapi""}}, ""quad"": false, ""texture"": true, ""model_version"": ""v3.0-20250812"", ""smart_low_poly"": false, ""texture_quality"": ""detailed"", ""geometry_quality"": ""detailed""}","{""key"": ""tcli_b38978008ac443c480cdfb8bf25feb31/20251024/f36c4bf0-8a6e-4a5b-9302-779612f1bf77"", ""bucket"": ""cn-openapi""}","{""pbr_model"": {""key"": ""tcli_b38978008ac443c480cdfb8bf25feb31/20251024/f36c4bf0-8a6e-4a5b-9302-779612f1bf77/tripo_pbr_model_f36c4bf0-8a6e-4a5b-9302-779612f1bf77.glb"", ""bucket"": ""cn-openapi""}, ""rendered_image"": {""key"": ""tcli_b38978008ac443c480cdfb8bf25feb31/20251024/f36c4bf0-8a6e-4a5b-9302-779612f1bf77/legacy_mesh.webp"", ""bucket"": ""cn-openapi""}}",false,"{""reason"": ""expired by openapi""}",2025-10-24 06:57:35.388223 +00:00,2025-10-24 06:57:35.602186 +00:00,,2025-10-24 06:57:35.388223 +00:00,ttxn_DBYVWEDMSBOYMYRIU3JOXOXG
33,50f61f36-5e91-4e2c-b377-ef1f7a13e08c,tcli_4862293cbe68412e9e6a9b157b1973ff,image_to_model,success,"{""pbr"": true, ""file"": {""type"": ""png"", ""object"": {""key"": ""tcli_4862293cbe68412e9e6a9b157b1973ff/20251028/50f61f36-5e91-4e2c-b377-ef1f7a13e08c/file.png"", ""bucket"": ""cn-openapi""}}, ""quad"": false, ""texture"": true, ""model_version"": ""v2.5-20250123"", ""geometry_quality"": ""standard""}","{""key"": ""tcli_4862293cbe68412e9e6a9b157b1973ff/20251028/50f61f36-5e91-4e2c-b377-ef1f7a13e08c"", ""bucket"": ""cn-openapi""}","{""pbr_model"": {""key"": ""tcli_4862293cbe68412e9e6a9b157b1973ff/20251028/50f61f36-5e91-4e2c-b377-ef1f7a13e08c/tripo_pbr_model_50f61f36-5e91-4e2c-b377-ef1f7a13e08c.glb"", ""bucket"": ""cn-openapi""}, ""rendered_image"": {""key"": ""tcli_4862293cbe68412e9e6a9b157b1973ff/20251028/50f61f36-5e91-4e2c-b377-ef1f7a13e08c/legacy_mesh.webp"", ""bucket"": ""cn-openapi""}}",false,{},2025-10-28 18:32:48.468770 +00:00,2025-10-28 18:33:02.295530 +00:00,2025-10-28 18:34:06.941449 +00:00,2025-10-28 18:32:48.468770 +00:00,ttxn_DBZLWUWHGJ3OJ6PNJ7LJKO6L
10,6cc06bd5-83af-4bf2-97b0-6cb47ecce657,tcli_b38978008ac443c480cdfb8bf25feb31,image_to_model,expired,"{""pbr"": true, ""file"": {""type"": ""png"", ""object"": {""key"": ""tcli_b38978008ac443c480cdfb8bf25feb31/20251024/6cc06bd5-83af-4bf2-97b0-6cb47ecce657/image.png"", ""bucket"": ""cn-openapi""}}, ""quad"": false, ""texture"": true, ""model_version"": ""v3.0-20250812"", ""smart_low_poly"": false, ""texture_quality"": ""detailed"", ""geometry_quality"": ""detailed""}","{""key"": ""tcli_b38978008ac443c480cdfb8bf25feb31/20251024/6cc06bd5-83af-4bf2-97b0-6cb47ecce657"", ""bucket"": ""cn-openapi""}","{""pbr_model"": {""key"": ""tcli_b38978008ac443c480cdfb8bf25feb31/20251024/6cc06bd5-83af-4bf2-97b0-6cb47ecce657/tripo_pbr_model_6cc06bd5-83af-4bf2-97b0-6cb47ecce657.glb"", ""bucket"": ""cn-openapi""}, ""rendered_image"": {""key"": ""tcli_b38978008ac443c480cdfb8bf25feb31/20251024/6cc06bd5-83af-4bf2-97b0-6cb47ecce657/legacy_mesh.webp"", ""bucket"": ""cn-openapi""}}",false,"{""reason"": ""expired by openapi""}",2025-10-24 07:08:53.177939 +00:00,2025-10-24 07:08:53.408479 +00:00,,2025-10-24 07:08:53.177939 +00:00,ttxn_DBYVXLR4HNBWTM5UNM7NDKLD
1,d8da88a7-9be5-4162-a84d-8d2e4174d8b4,tcli_b38978008ac443c480cdfb8bf25feb31,image_to_model,expired,"{""pbr"": true, ""file"": {""type"": ""jpeg"", ""object"": {""key"": ""tcli_b38978008ac443c480cdfb8bf25feb31/20251024/d8da88a7-9be5-4162-a84d-8d2e4174d8b4/file.jpeg"", ""bucket"": ""cn-openapi""}}, ""quad"": false, ""texture"": true, ""model_version"": ""v3.0-20250812"", ""smart_low_poly"": false, ""texture_quality"": ""detailed"", ""geometry_quality"": ""detailed""}","{""key"": ""tcli_b38978008ac443c480cdfb8bf25feb31/20251024/d8da88a7-9be5-4162-a84d-8d2e4174d8b4"", ""bucket"": ""cn-openapi""}","{""pbr_model"": {""key"": ""tcli_b38978008ac443c480cdfb8bf25feb31/20251024/d8da88a7-9be5-4162-a84d-8d2e4174d8b4/tripo_pbr_model_d8da88a7-9be5-4162-a84d-8d2e4174d8b4.glb"", ""bucket"": ""cn-openapi""}, ""rendered_image"": {""key"": ""tcli_b38978008ac443c480cdfb8bf25feb31/20251024/d8da88a7-9be5-4162-a84d-8d2e4174d8b4/legacy_mesh.webp"", ""bucket"": ""cn-openapi""}}",false,"{""reason"": ""expired by openapi""}",2025-10-24 06:52:44.688918 +00:00,2025-10-24 06:53:07.513273 +00:00,,2025-10-24 06:52:44.688918 +00:00,ttxn_DBYVVTF5KDIRVGEYWFGXIW5G
34,78b5c2f2-4ed0-4650-b826-7ae14e323558,tcli_4862293cbe68412e9e6a9b157b1973ff,convert_model,success,"{""quad"": true, ""format"": ""FBX"", ""face_limit"": 5000, ""original_model_id"": ""50f61f36-5e91-4e2c-b377-ef1f7a13e08c"", ""export_orientation"": ""+x""}","{""key"": ""tcli_4862293cbe68412e9e6a9b157b1973ff/20251028/78b5c2f2-4ed0-4650-b826-7ae14e323558"", ""bucket"": ""cn-openapi""}","{""model"": {""key"": ""tcli_4862293cbe68412e9e6a9b157b1973ff/20251028/78b5c2f2-4ed0-4650-b826-7ae14e323558/tripo_convert_78b5c2f2-4ed0-4650-b826-7ae14e323558.fbx"", ""bucket"": ""cn-openapi""}}",false,"{""spec"": null, ""topology"": null, ""original_type"": ""image_to_model""}",2025-10-28 18:36:39.109182 +00:00,2025-10-28 18:36:42.423145 +00:00,2025-10-28 18:37:22.918155 +00:00,2025-10-28 18:36:39.109182 +00:00,ttxn_DBZLXCD2N5BGPSYDWIAWLJBV
2,133f883f-aa0a-45b5-b49d-f9f301c05c0d,tcli_b38978008ac443c480cdfb8bf25feb31,text_to_model,expired,"{""pbr"": false, ""quad"": true, ""prompt"": ""A robot sings a song carefully."", ""texture"": false, ""image_seed"": 12345, ""texture_seed"": 12345, ""model_version"": ""v3.0-20250812"", ""generate_parts"": false, ""smart_low_poly"": true, ""texture_quality"": ""detailed"", ""geometry_quality"": ""detailed"", ""texture_alignment"": ""geometry""}","{""key"": ""tcli_b38978008ac443c480cdfb8bf25feb31/20251024/133f883f-aa0a-45b5-b49d-f9f301c05c0d"", ""bucket"": ""cn-openapi""}","{""model"": {""key"": ""tcli_b38978008ac443c480cdfb8bf25feb31/20251024/133f883f-aa0a-45b5-b49d-f9f301c05c0d/tripo_poly_133f883f-aa0a-45b5-b49d-f9f301c05c0d.fbx"", ""bucket"": ""cn-openapi""}, ""rendered_image"": {""key"": ""tcli_b38978008ac443c480cdfb8bf25feb31/20251024/133f883f-aa0a-45b5-b49d-f9f301c05c0d/legacy_mesh.webp"", ""bucket"": ""cn-openapi""}}",false,"{""reason"": ""expired by openapi""}",2025-10-24 06:56:07.640033 +00:00,2025-10-24 06:56:07.783087 +00:00,,2025-10-24 06:56:07.640033 +00:00,ttxn_DBYVV676UOCCRZC2VUHAQTAK
266,6904706b-933a-4565-a0d7-4755df0f576c,tcli_4862293cbe68412e9e6a9b157b1973ff,image_to_model,failed,"{""pbr"": true, ""file"": {""type"": ""png"", ""object"": {""key"": ""tcli_4862293cbe68412e9e6a9b157b1973ff/20251104/6904706b-933a-4565-a0d7-4755df0f576c/file.png"", ""bucket"": ""cn-openapi""}}, ""quad"": false, ""texture"": true, ""model_version"": ""v2.5-20250123"", ""geometry_quality"": ""standard""}","{""key"": ""tcli_4862293cbe68412e9e6a9b157b1973ff/20251104/6904706b-933a-4565-a0d7-4755df0f576c"", ""bucket"": ""cn-openapi""}",{},false,"{""error_msg"": ""API Error: 1004 - One or more of your parameter is invalid"", ""fail_info"": ""Failed to fetch image"", ""error_code"": 1004}",2025-11-04 08:04:45.453752 +00:00,,,2025-11-04 08:04:45.453752 +00:00,ttxn_DB2L6HHZ7HC3UZLUVVQIRLRV
6,a4fb569e-3a51-4244-b76a-e0a57c5adf3b,tcli_b38978008ac443c480cdfb8bf25feb31,image_to_model,expired,"{""pbr"": true, ""file"": {""type"": ""png"", ""object"": {""key"": ""tcli_b38978008ac443c480cdfb8bf25feb31/20251024/a4fb569e-3a51-4244-b76a-e0a57c5adf3b/image.png"", ""bucket"": ""cn-openapi""}}, ""quad"": false, ""texture"": true, ""model_version"": ""v3.0-20250812"", ""smart_low_poly"": false, ""texture_quality"": ""detailed"", ""geometry_quality"": ""detailed""}","{""key"": ""tcli_b38978008ac443c480cdfb8bf25feb31/20251024/a4fb569e-3a51-4244-b76a-e0a57c5adf3b"", ""bucket"": ""cn-openapi""}","{""pbr_model"": {""key"": ""tcli_b38978008ac443c480cdfb8bf25feb31/20251024/a4fb569e-3a51-4244-b76a-e0a57c5adf3b/tripo_pbr_model_a4fb569e-3a51-4244-b76a-e0a57c5adf3b.glb"", ""bucket"": ""cn-openapi""}, ""rendered_image"": {""key"": ""tcli_b38978008ac443c480cdfb8bf25feb31/20251024/a4fb569e-3a51-4244-b76a-e0a57c5adf3b/legacy_mesh.webp"", ""bucket"": ""cn-openapi""}}",false,"{""reason"": ""expired by openapi""}",2025-10-24 07:08:47.907361 +00:00,2025-10-24 07:08:48.158929 +00:00,,2025-10-24 07:08:47.907361 +00:00,ttxn_DBYVXLICCL2PMRY33QTMWYXO
7,443b0ff2-34fb-4db1-a6e5-caf1cbc438bb,tcli_b38978008ac443c480cdfb8bf25feb31,image_to_model,expired,"{""pbr"": true, ""file"": {""type"": ""png"", ""object"": {""key"": ""tcli_b38978008ac443c480cdfb8bf25feb31/20251024/443b0ff2-34fb-4db1-a6e5-caf1cbc438bb/image.png"", ""bucket"": ""cn-openapi""}}, ""quad"": false, ""texture"": true, ""model_version"": ""v3.0-20250812"", ""smart_low_poly"": false, ""texture_quality"": ""detailed"", ""geometry_quality"": ""detailed""}","{""key"": ""tcli_b38978008ac443c480cdfb8bf25feb31/20251024/443b0ff2-34fb-4db1-a6e5-caf1cbc438bb"", ""bucket"": ""cn-openapi""}","{""pbr_model"": {""key"": ""tcli_b38978008ac443c480cdfb8bf25feb31/20251024/443b0ff2-34fb-4db1-a6e5-caf1cbc438bb/tripo_pbr_model_443b0ff2-34fb-4db1-a6e5-caf1cbc438bb.glb"", ""bucket"": ""cn-openapi""}, ""rendered_image"": {""key"": ""tcli_b38978008ac443c480cdfb8bf25feb31/20251024/443b0ff2-34fb-4db1-a6e5-caf1cbc438bb/legacy_mesh.webp"", ""bucket"": ""cn-openapi""}}",false,"{""reason"": ""expired by openapi""}",2025-10-24 07:08:49.225169 +00:00,2025-10-24 07:08:49.476458 +00:00,,2025-10-24 07:08:49.225169 +00:00,ttxn_DBYVXLKQUJK6RDPL24DO72PZ
